Número do processo,UF,Assunto,Sub-assunto,Resultado macro,Resultado micro,Valor da causa,Valor da condenação/indenização,Contrato,Extrato,Comprovante de crédito,Dossiê,Demonstrativo de evolução da dívida,Laudo referenciado,partner_law_firm,lawyer_name,policy_recommendation,reasoning_code,lawyer_decision,is_override,override_reason,settlement_target_value,settlement_final_value,settlement_status,is_loss,log_cause_value,critical_docs_count,missing_power_pair
7147951-65.2025.8.14.2875,PA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,13707.7,6031.388,0,1,0,1,1,1,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,6395.01,CONTRA_PROPOSTA,1,9.525785946762214,1,0
4825065-22.2025.8.01.3621,AC,Não reconhece operação,Golpe,Êxito,Extinção,24394.39,0.0,1,0,0,1,0,1,Albuquerque & Castro Sociedade de Advogados,Dr. Roberto Albuquerque,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,0.0,RECUSADO,0,10.102149459004707,1,0
4494699-78.2025.8.14.3472,PA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,20493.42,17009.538599999996,1,0,0,1,0,1,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,0.0,RECUSADO,1,9.927907932952733,1,0
8373829-17.2025.8.03.7660,AP,Não reconhece operação,Genérico,Não Êxito,Procedência,18859.98,18294.1806,0,0,1,0,1,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,ACORDO,POWER_PAIR_AUSENTE,ACORDO,False,,5329.18,5447.34,ACEITO,1,9.844850516661445,1,1
3190596-52.2025.8.05.3341,BA,Não reconhece operação,Golpe,Êxito,Improcedência,13718.44,0.0,1,1,1,1,1,0,Pinheiro & Associados Advogados,Dr. Lucas Ramos,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.526569084120336,3,0
6234029-11.2025.8.07.4467,DF,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,19374.15,14530.612500000001,0,1,0,1,1,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,5297.39,ACEITO,1,9.871746596127062,1,0
1067932-55.2025.8.25.6886,SE,Não reconhece operação,Genérico,Êxito,Improcedência,12219.68,0.0,1,1,0,1,0,1,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,DEFESA,ML_ZONA_CINZENTA_RISCO_CONTROLADO,DEFESA,False,,,,NA,0,9.410884877658557,2,0
6633226-72.2025.8.09.7526,GO,Não reconhece operação,Genérico,Êxito,Improcedência,15678.64,0.0,1,1,1,1,1,1,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.66011833445716,3,0
1812353-31.2025.8.11.9623,MT,Não reconhece operação,Genérico,Êxito,Improcedência,12622.26,0.0,1,1,1,0,1,1,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.443296422863089,3,0
4616371-83.2025.8.08.8779,ES,Não reconhece operação,Genérico,Êxito,Extinção,14590.62,0.0,0,1,0,0,1,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,DEFESA,ML_ZONA_CINZENTA_RISCO_CONTROLADO,DEFESA,False,,,,NA,0,9.588202670308355,1,0
7836908-14.2025.8.05.1101,BA,Não reconhece operação,Genérico,Êxito,Improcedência,15957.89,0.0,1,1,0,1,1,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,5318.03,ACEITO,0,9.677771319712985,2,0
5375586-26.2025.8.27.9350,TO,Não reconhece operação,Genérico,Êxito,Improcedência,9443.33,0.0,1,1,1,1,0,1,Moreira & Guimarães Consultoria Jurídica,Dr. Carlos Eduardo Moreira,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.153169840415757,3,0
6799086-30.2025.8.24.1497,SC,Não reconhece operação,Golpe,Êxito,Improcedência,12278.34,0.0,1,1,0,0,1,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,0.0,RECUSADO,0,9.41567345432843,2,0
6327497-94.2025.8.05.8228,BA,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,15415.52,14336.4336,1,1,1,1,1,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,1,9.643194940713695,3,0
5383127-15.2025.8.09.6708,GO,Não reconhece operação,Golpe,Não Êxito,Procedência,12803.98,10371.2238,0,0,0,1,0,0,Pinheiro & Associados Advogados,Dr. Lucas Ramos,ACORDO,POWER_PAIR_AUSENTE,DEFESA,True,Estratégia de sustentação oral com precedentes favoráveis na turma recursal,,,NA,1,9.45758943674252,0,1
8160980-13.2025.8.21.5774,RS,Não reconhece operação,Golpe,Êxito,Extinção,12721.75,0.0,1,1,0,1,1,1,Moreira & Guimarães Consultoria Jurídica,Dr. Carlos Eduardo Moreira,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,5330.88,ACEITO,0,9.451147008495902,2,0
4731564-17.2025.8.15.5919,PB,Não reconhece operação,Genérico,Êxito,Improcedência,11875.19,0.0,0,1,0,1,1,0,Vasconcelos Contencioso Bancário,Dra. Fernanda Vasconcelos,ACORDO_FAST_TRACK,DOSSIE_NAO_CONFORME,DEFESA,True,Autor juntou boletim de ocorrência com indícios robustos de golpe,,,NA,0,9.382290834408419,1,0
6633727-32.2025.8.16.0831,PR,Não reconhece operação,Golpe,Êxito,Extinção,20341.73,0.0,1,1,1,1,1,0,Pinheiro & Associados Advogados,Dr. Lucas Ramos,DEFESA,CADEIA_COMPLETA,ACORDO,True,Divergência grosseira na assinatura mesmo sem laudo formal,5329.18,5577.71,ACEITO,0,9.920478878885168,3,0
9937414-31.2025.8.07.8729,DF,Não reconhece operação,Golpe,Êxito,Improcedência,13727.71,0.0,1,1,1,1,1,1,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.527244539504576,3,0
1599637-17.2025.8.16.5533,PR,Não reconhece operação,Genérico,Não Êxito,Procedência,8030.48,6745.6032,0,0,0,0,0,1,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,ACORDO,POWER_PAIR_AUSENTE,ACORDO,False,,3613.72,0.0,RECUSADO,1,8.991124098799862,0,1
1551419-75.2025.8.03.9790,AP,Não reconhece operação,Golpe,Êxito,Improcedência,9862.15,0.0,1,1,1,1,0,1,Vasconcelos Contencioso Bancário,Dra. Fernanda Vasconcelos,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.196560869192803,3,0
1024206-34.2025.8.17.9878,PE,Não reconhece operação,Genérico,Êxito,Extinção,24379.01,0.0,1,1,1,1,1,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,10.10151881320745,3,0
