Número do processo,UF,Assunto,Sub-assunto,Resultado macro,Resultado micro,Valor da causa,Valor da condenação/indenização,Contrato,Extrato,Comprovante de crédito,Dossiê,Demonstrativo de evolução da dívida,Laudo referenciado
1764352-89.2025.8.06.1818,CE,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,13534.0,7714.379999999999,0,0,0,1,1,1
5638325-36.2025.8.17.4124,PE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,7883.63,3784.1423999999997,1,1,0,1,1,1
1037491-89.2025.8.18.1658,PI,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,8561.97,6507.097199999999,0,1,1,1,1,0
9547931-23.2025.8.04.4188,AM,Não reconhece operação,Golpe,Êxito,Improcedência,5693.13,0.0,1,1,1,1,1,0
9999446-69.2025.8.04.4264,AM,Não reconhece operação,Golpe,Êxito,Improcedência,8515.67,0.0,0,1,0,1,1,1
2412149-28.2025.8.24.1145,SC,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,16961.06,12720.795000000002,1,1,1,1,0,1
8874499-95.2025.8.07.3223,DF,Não reconhece operação,Golpe,Não Êxito,Procedência,11180.0,11180.0,1,0,0,1,0,1
1917160-43.2025.8.07.3360,DF,Não reconhece operação,Golpe,Êxito,Extinção,20060.4,0.0,1,1,1,1,1,1
6064536-08.2025.8.05.2439,BA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,16021.5,9773.115,0,1,0,1,0,1
1921027-43.2025.8.15.3964,PB,Não reconhece operação,Golpe,Êxito,Extinção,16520.52,0.0,1,1,0,1,1,1
6140081-15.2025.8.25.2962,SE,Não reconhece operação,Golpe,Êxito,Improcedência,22470.81,0.0,1,1,1,1,1,1
4240001-27.2025.8.10.0476,MA,Não reconhece operação,Golpe,Êxito,Improcedência,8658.46,0.0,1,1,1,1,1,1
4060328-48.2025.8.03.5952,AP,Não reconhece operação,Genérico,Não Êxito,Procedência,18988.78,17089.902,0,0,0,1,1,1
3958810-04.2025.8.11.6659,MT,Não reconhece operação,Genérico,Êxito,Improcedência,25650.47,0.0,1,1,0,1,1,1
7535845-01.2025.8.20.6188,RN,Não reconhece operação,Golpe,Êxito,Improcedência,11076.15,0.0,1,1,1,0,1,0
9250401-05.2025.8.12.3576,MS,Não reconhece operação,Golpe,Êxito,Extinção,17479.14,0.0,1,1,1,1,1,0
2778665-68.2025.8.14.3195,PA,Não reconhece operação,Golpe,Êxito,Improcedência,15764.1,0.0,1,1,1,1,1,1
2401594-98.2025.8.21.9938,RS,Não reconhece operação,Golpe,Êxito,Improcedência,9778.55,0.0,1,1,0,1,1,0
6418008-51.2025.8.09.7653,GO,Não reconhece operação,Golpe,Êxito,Extinção,8769.47,0.0,1,1,1,1,1,1
6088311-10.2025.8.15.8003,PB,Não reconhece operação,Golpe,Êxito,Extinção,5783.48,0.0,1,1,0,0,1,1
1768099-89.2025.8.12.6388,MS,Não reconhece operação,Golpe,Êxito,Extinção,11662.6,0.0,1,1,0,1,1,1
2716081-88.2025.8.19.8813,RJ,Não reconhece operação,Golpe,Êxito,Extinção,15641.33,0.0,1,1,0,1,1,1
1996289-38.2025.8.13.1427,MG,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,22052.77,11246.9127,0,0,1,1,0,1
6525750-71.2025.8.07.2464,DF,Não reconhece operação,Golpe,Êxito,Improcedência,22474.21,0.0,1,1,0,1,1,0
2933175-05.2025.8.14.8934,PA,Não reconhece operação,Genérico,Êxito,Extinção,21135.98,0.0,1,1,0,1,1,1
8242761-70.2025.8.25.4530,SE,Não reconhece operação,Golpe,Não Êxito,Procedência,19419.34,16700.6324,1,1,0,1,1,1
5764134-07.2025.8.09.1923,GO,Não reconhece operação,Golpe,Não Êxito,Procedência,13427.87,11413.6895,0,0,0,1,0,1
2745205-35.2025.8.02.4268,AL,Não reconhece operação,Golpe,Não Êxito,Procedência,10689.49,10048.120599999998,0,0,1,1,1,0
4457574-26.2025.8.25.5559,SE,Não reconhece operação,Genérico,Êxito,Improcedência,15826.02,0.0,1,1,1,0,1,1
2521217-81.2025.8.07.5399,DF,Não reconhece operação,Genérico,Êxito,Extinção,6820.07,0.0,1,1,1,1,1,1
5899277-63.2025.8.24.0095,SC,Não reconhece operação,Golpe,Não Êxito,Acordo,12747.7,4716.649,0,1,1,1,1,0
4937049-13.2025.8.04.5655,AM,Não reconhece operação,Golpe,Não Êxito,Procedência,25663.74,23354.0034,1,0,1,1,0,1
5250775-41.2025.8.21.7819,RS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,11450.14,8129.599399999999,0,1,1,1,1,1
6004002-19.2025.8.11.3369,MT,Não reconhece operação,Genérico,Êxito,Extinção,16024.55,0.0,1,1,1,1,1,1
8275953-90.2025.8.22.5835,RO,Não reconhece operação,Genérico,Êxito,Extinção,11071.57,0.0,1,1,0,0,1,1
8968643-90.2025.8.17.4196,PE,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,9593.1,5180.274,0,0,1,1,1,1
3560488-21.2025.8.20.3063,RN,Não reconhece operação,Genérico,Êxito,Improcedência,15421.07,0.0,1,1,1,1,1,1
6499469-09.2025.8.12.9260,MS,Não reconhece operação,Genérico,Êxito,Improcedência,18043.36,0.0,1,1,1,1,1,0
8355122-71.2025.8.09.1223,GO,Não reconhece operação,Golpe,Êxito,Extinção,17755.54,0.0,1,1,0,0,0,1
7893459-62.2025.8.03.6963,AP,Não reconhece operação,Golpe,Êxito,Improcedência,10382.46,0.0,1,1,0,1,1,1
1692558-47.2025.8.22.3884,RO,Não reconhece operação,Genérico,Êxito,Improcedência,11237.1,0.0,1,1,1,0,0,1
7993277-24.2025.8.12.8327,MS,Não reconhece operação,Golpe,Êxito,Improcedência,15811.6,0.0,1,1,1,1,1,1
2905818-71.2025.8.25.6327,SE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,18151.26,7260.504,0,0,0,0,1,1
4677301-60.2025.8.26.9537,SP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,13297.36,7313.548000000001,0,0,0,1,1,1
2130223-97.2025.8.14.0588,PA,Não reconhece operação,Golpe,Êxito,Improcedência,15635.0,0.0,1,1,1,0,1,0
1157075-12.2025.8.02.5425,AL,Não reconhece operação,Golpe,Êxito,Improcedência,11407.7,0.0,1,1,1,1,1,1
3856154-88.2025.8.16.3659,PR,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,21787.62,14597.7054,0,1,0,1,1,1
7336153-17.2025.8.04.8332,AM,Não reconhece operação,Golpe,Não Êxito,Procedência,4607.8,4561.722,0,1,0,1,1,0
4907807-90.2025.8.21.2049,RS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,14570.36,10053.5484,0,0,0,1,1,0
7777075-57.2025.8.05.7238,BA,Não reconhece operação,Golpe,Êxito,Improcedência,23946.4,0.0,1,1,1,1,1,1
5462979-94.2025.8.20.1705,RN,Não reconhece operação,Genérico,Êxito,Extinção,20652.8,0.0,1,1,1,1,1,1
3087363-18.2025.8.01.6040,AC,Não reconhece operação,Genérico,Êxito,Improcedência,17891.8,0.0,1,1,1,0,1,0
8067389-33.2025.8.09.6205,GO,Não reconhece operação,Golpe,Êxito,Improcedência,15098.36,0.0,1,1,1,0,1,1
5670220-02.2025.8.16.3360,PR,Não reconhece operação,Golpe,Não Êxito,Procedência,16937.61,13550.088000000002,1,1,0,1,0,1
4488778-24.2025.8.05.0365,BA,Não reconhece operação,Golpe,Êxito,Improcedência,16167.43,0.0,1,1,1,1,1,1
3285286-56.2025.8.06.1086,CE,Não reconhece operação,Golpe,Êxito,Extinção,10554.08,0.0,1,1,1,1,1,1
3977227-33.2025.8.26.3787,SP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,16005.26,10243.3664,0,0,0,1,1,1
2193662-31.2025.8.21.5489,RS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,11389.73,7403.3245,0,1,1,0,1,0
7254509-93.2025.8.13.6622,MG,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,21362.89,12390.4762,0,0,0,1,1,1
4111030-08.2025.8.19.2954,RJ,Não reconhece operação,Golpe,Êxito,Improcedência,12681.5,0.0,1,1,1,1,1,1
9474303-36.2025.8.11.5936,MT,Não reconhece operação,Genérico,Êxito,Improcedência,19690.8,0.0,1,1,1,0,1,1
5745565-79.2025.8.08.6679,ES,Não reconhece operação,Golpe,Êxito,Extinção,7224.82,0.0,1,1,0,1,1,1
8265089-30.2025.8.05.0968,BA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,6353.89,3748.7951,0,1,0,0,0,1
7482626-28.2025.8.21.5864,RS,Não reconhece operação,Golpe,Êxito,Improcedência,13224.83,0.0,1,1,1,1,1,1
5722231-63.2025.8.12.6403,MS,Não reconhece operação,Golpe,Êxito,Improcedência,22278.0,0.0,1,1,1,0,1,1
4375572-31.2025.8.03.7754,AP,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,16037.69,12669.7751,0,1,1,1,0,1
1126172-80.2025.8.25.1383,SE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,8798.85,5103.333,0,1,0,1,1,1
